forwardingtable of node 0
===================================
1 5013 -1 -1 
-1 -1 3 5013 
1 5026 -1 -1 
1 5032 -1 -1 
-1 -1 3 5032 
2 5034 -1 -1 
1 5037 -1 -1 
1 5040 3 5041 
3 5045 -1 -1 
-1 -1 1 5048 


forwardingtable of node 1
===================================
7 5004 2 5005 
2 5009 7 5010 
7 5012 0 5013 
7 5025 0 5026 
7 5027 2 5028 
-1 -1 7 5029 
2 5032 -1 -1 
-1 -1 0 5032 
2 5035 -1 -1 
7 5036 0 5037 
-1 -1 2 5037 
7 5039 0 5040 
-1 -1 2 5045 
0 5048 -1 -1 


forwardingtable of node 2
===================================
1 5005 -1 -1 
-1 -1 5 5005 
-1 -1 1 5009 
-1 -1 5 5017 
1 5028 -1 -1 
-1 -1 1 5032 
-1 -1 0 5034 
5 5034 1 5035 
1 5037 5 5038 
5 5044 -1 -1 
1 5045 5 5046 


forwardingtable of node 3
===================================
-1 -1 8 5007 
4 5009 -1 -1 
0 5013 4 5014 
4 5017 -1 -1 
8 5024 -1 -1 
4 5030 8 5031 
0 5032 4 5033 
-1 -1 4 5033 
-1 -1 4 5037 
0 5041 -1 -1 
-1 -1 0 5045 


forwardingtable of node 4
===================================
6 5003 -1 -1 
-1 -1 5 5003 
6 5008 3 5009 
3 5014 6 5015 
5 5016 3 5017 
6 5029 -1 -1 
-1 -1 3 5030 
5 5032 -1 -1 
3 5033 -1 -1 
3 5033 6 5034 
3 5037 -1 -1 
-1 -1 5 5037 
-1 -1 6 5045 
5 5047 6 5048 


forwardingtable of node 5
===================================
12 5002 -1 -1 
4 5003 -1 -1 
2 5005 10 5006 
10 5012 -1 -1 
10 5015 4 5016 
2 5017 12 5018 
12 5022 -1 -1 
-1 -1 10 5032 
-1 -1 4 5032 
-1 -1 2 5034 
4 5037 -1 -1 
2 5038 12 5039 
12 5043 2 5044 
2 5046 -1 -1 
10 5046 4 5047 


forwardingtable of node 6
===================================
7 5002 4 5003 
-1 -1 7 5003 
-1 -1 4 5008 
4 5015 -1 -1 
-1 -1 7 5019 
-1 -1 7 5026 
-1 -1 4 5029 
7 5030 -1 -1 
4 5034 -1 -1 
-1 -1 7 5035 
4 5045 -1 -1 
4 5048 -1 -1 


forwardingtable of node 7
===================================
-1 -1 6 5002 
6 5003 1 5004 
1 5010 9 5011 
-1 -1 1 5012 
6 5019 9 5020 
9 5024 1 5025 
6 5026 1 5027 
1 5029 6 5030 
6 5035 1 5036 
-1 -1 1 5039 


forwardingtable of node 8
===================================
-1 -1 11 5006 
3 5007 13 5008 
11 5023 3 5024 
-1 -1 13 5024 
13 5028 11 5029 
3 5031 13 5032 
13 5044 11 5045 
11 5045 -1 -1 
11 5049 -1 -1 


forwardingtable of node 9
===================================
7 5011 -1 -1 
-1 -1 10 5011 
7 5020 11 5021 
-1 -1 11 5022 
-1 -1 7 5024 
-1 -1 10 5030 
-1 -1 10 5037 
10 5041 11 5042 
-1 -1 11 5048 


forwardingtable of node 10
===================================
5 5006 -1 -1 
9 5011 5 5012 
-1 -1 5 5015 
9 5030 -1 -1 
5 5032 -1 -1 
9 5037 -1 -1 
-1 -1 9 5041 
-1 -1 5 5046 


forwardingtable of node 11
===================================
8 5006 12 5007 
12 5019 -1 -1 
9 5021 -1 -1 
-1 -1 12 5021 
9 5022 8 5023 
8 5029 -1 -1 
9 5042 -1 -1 
-1 -1 12 5042 
8 5045 -1 -1 
-1 -1 8 5045 
12 5048 -1 -1 
9 5048 8 5049 


forwardingtable of node 12
===================================
13 5001 5 5002 
11 5007 -1 -1 
5 5018 11 5019 
11 5021 5 5022 
5 5039 -1 -1 
11 5042 5 5043 
-1 -1 11 5048 


forwardingtable of node 13
===================================
-1 -1 12 5001 
8 5008 -1 -1 
8 5024 -1 -1 
-1 -1 8 5028 
8 5032 -1 -1 
-1 -1 8 5044 


